,Employer,Address,Positions,Province,NOC,Stream,Incorporate_status,LMIAs,YEAR,PERIOD,NOC_code,NOC_label
13890,Bamrah Auto Sales &Services Inc.,"Calgary, AB T1Y 5Y9",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13891,Banff Adventures Unlimited Inc,"Banff, AB T1L 1A8",1,Alberta,"1123-Professional occupations in advertising, marketing and public relations",High Wage,Unknown,1,2024,Q1,1123,"Professional occupations in advertising, marketing and public relations"
13892,BARNALA CONSTRUCTION LTD.,"CALGARY, AB T3J 0V2",2,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13893,Baseline Trucking Ltd,"Sherwood Park, AB T8A 4X6",1,Alberta,1525-Dispatchers,High Wage,Unknown,1,2024,Q1,1525,Dispatchers
13894,BAY ENTERPRISES INC.,"CALGARY, AB T3J 2H4",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13895,BBN TRANSPORT LTD.,"ROCKY VIEW COUNTY, AB T1X 0K3",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
13896,BCP CONSTRUCTION LTD.,"Calgary, AB T3J 0Z6",2,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13897,BDS Drywall Ltd,"Calgary, AB T3J 3V7",5,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13898,Bearded guys barber shop Ltd,"Edmonton, AB T6W 4V2",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
13899,Beauty Plus Studio Limited,"Calgary, AB T2N 3P7",1,Alberta,"6561-Image, social and other personal consultants",High Wage,Unknown,1,2024,Q1,6561,"Image, social and other personal consultants"
13900,Bella Custom Concrete Inc.,"Calgary, AB T3K 0G3",2,Alberta,7282-Concrete finishers,High Wage,Unknown,1,2024,Q1,7282,Concrete finishers
13901,Benipal Rauni Transport Inc,"Edmonton, AB T6B 2S1",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13902,BEST QUALITY INSULATION INC.,"CALGARY, AB T3A 2Z5",2,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13903,Best Truck Service & Automotive (Peace River) Ltd,"Peace River, AB T8S 0A5",7,Alberta,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",High Wage,Unknown,2,2024,Q1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
13904,Big Iron Truck & Equipment Ltd.,"Edmonton, AB T6B 3M5",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13905,Big Project Investments Ltd,"Calgary, AB T2P 3T1",1,Alberta,2171-Information systems analysts and consultants,High Wage,Unknown,1,2024,Q1,2171,Information systems analysts and consultants
13906,Big Route Transport Ltd.,"Edmonton, AB T6W 4L6",2,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13907,Bing Fen World Corp,"CALGARY, AB T2E 8N6",1,Alberta,"1123-Professional occupations in advertising, marketing and public relations",High Wage,Unknown,1,2024,Q1,1123,"Professional occupations in advertising, marketing and public relations"
13908,BioAro Inc.,"Calgary, AB T2P 0L4",1,Alberta,2171-Information systems analysts and consultants,High Wage,Unknown,1,2024,Q1,2171,Information systems analysts and consultants
13909,Bioneutra North America Inc.,"Edmonton, AB T6N 1J4",1,Alberta,0113-Purchasing managers,High Wage,Unknown,1,2024,Q1,0113,Purchasing managers
13910,Bizi Transport Inc.,"Blackfalds, AB T0M 0J0",10,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13911,Black Roadways LTD.,"Calgary, AB T1Y 5A6",1,Alberta,"1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",High Wage,Unknown,1,2024,Q1,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations"
13912,Black Roadways LTD.,"Calgary, AB T1Y 5A6",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13913,Black Roadways LTD.,"Calgary, AB T1Y 5A6",2,Alberta,1525-Dispatchers,High Wage,Unknown,1,2024,Q1,1525,Dispatchers
13914,Black Roadways LTD.,"Calgary, AB T1Y 5A6",5,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13915,Blitz Trans Ltd,"Calgary, AB T3K 5J4",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13916,BLOODLINE TATTOO INK LTD,"Edmonton, AB T6E 1Z5",1,Alberta,"0651-Managers in customer and personal services, n.e.c.",High Wage,Unknown,1,2024,Q1,0651,"Managers in customer and personal services, n.e.c."
13917,Blossom Nails & Massage Ltd.,"Calgary, AB T2Y 3W5",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
13918,Blue Hawk Motors Ltd.,"Edmonton, AB T6T 0K5",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13919,Blue Lake Landscaping & Contracting Ltd,"Rocky View County, AB T1X 0R4",2,Alberta,7282-Concrete finishers,High Wage,Unknown,1,2024,Q1,7282,Concrete finishers
13920,BLUE NIGHT TRANSPORT LTD.,"CALGARY, AB T3J 3T1",2,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13921,BLUEHORSE CARRIER LTD.,"CALAGRY, AB T3N 1V9",2,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13922,BLUZON SUPPLY INC.,"CALGARY, AB T2A 5P1",2,Alberta,7272-Cabinetmakers,High Wage,Unknown,1,2024,Q1,7272,Cabinetmakers
13923,Boardwalk,"Calgary, AB T2R 0W1",1,Alberta,2225-Landscape and horticulture technicians and specialists,High Wage,Unknown,1,2024,Q1,2225,Landscape and horticulture technicians and specialists
13924,Body Therapy Zone LTD.,"Calgary, AB T3P 0A3",1,Alberta,3232-Practitioners of natural healing,High Wage,Unknown,1,2024,Q1,3232,Practitioners of natural healing
13925,BOLT TRANSPORT LTD.,"Edmonton, AB T6T 0P2",4,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13926,BPR Mechanical Ltd,"Calgary, AB T2E 6L1",2,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13927,Brar Friends Construction LTD,"Chestermere, AB T1X 1Z3",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13928,Brar Friends Construction LTD,"Chestermere, AB T1X 1Z3",2,Alberta,7272-Cabinetmakers,High Wage,Unknown,1,2024,Q1,7272,Cabinetmakers
13929,Bravo Accounting And Tax Services Ltd,"Edmonton, AB T6E 6A4",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
13930,Bridge City 2023 Ltd.,"Lethbridge, AB T1J 4H2",1,Alberta,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",High Wage,Unknown,1,2024,Q1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
13931,Brilliant Consultant Ltd.,"Edmonton, AB T6E 5R5",1,Alberta,"1211-Supervisors, general office and administrative support workers",High Wage,Unknown,1,2024,Q1,1211,"Supervisors, general office and administrative support workers"
13932,Broadwayz Trucking Inc,"Edmonton, AB T6T 1L8",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13933,Brown Boys Accounting Inc.,"Calgary, AB T3J 1W5",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13934,Brown Boys Accounting Inc.,"Calgary, AB T3J 1W5",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
13935,Bry Sand Ice Arena Ltd.,"Edmonton, AB T6P 1Y7",4,Alberta,7282-Concrete finishers,High Wage,Unknown,1,2024,Q1,7282,Concrete finishers
13936,Buenos Construction Ltd.,"Edmonton, AB T6V 1H8",10,Alberta,7271-Carpenters,High Wage,Unknown,1,2024,Q1,7271,Carpenters
13937,Buenos Construction Ltd.,"Edmonton, AB T6V 1H8",10,Alberta,"7284-Plasterers, drywall installers and finishers and lathers",High Wage,Unknown,1,2024,Q1,7284,"Plasterers, drywall installers and finishers and lathers"
13938,BUNIT CONSULTING INC.,"Calgary, AB T3L 2T6",1,Alberta,2174-Computer programmers and interactive media developers,High Wage,Unknown,1,2024,Q1,2174,Computer programmers and interactive media developers
13939,BURAQ LANDSCAPES AND CONSTRUCTION LTD.,"CALGARY, AB T3J 0K7",1,Alberta,"6733-Janitors, caretakers and building superintendents",High Wage,Unknown,1,2024,Q1,6733,"Janitors, caretakers and building superintendents"
13940,BURAQ LANDSCAPES AND CONSTRUCTION LTD.,"CALGARY, AB T3J 0K7",1,Alberta,7441-Residential and commercial installers and servicers,High Wage,Unknown,1,2024,Q1,7441,Residential and commercial installers and servicers
13941,Business Improvement Solutions Inc.,"Sherwood Park, AB T8A 4G6",1,Alberta,2174-Computer programmers and interactive media developers,High Wage,Unknown,1,2024,Q1,2174,Computer programmers and interactive media developers
13942,C&L Cabinets Ltd.,"Calgary, AB T2E 6P7",1,Alberta,1112-Financial and investment analysts,High Wage,Unknown,1,2024,Q1,1112,Financial and investment analysts
13943,C&L Cabinets Ltd.,"Calgary, AB T2E 6P7",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13944,C&S Auto Repair Inc.,"Edmonton, AB T6E 6A4",1,Alberta,7612-Other trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7612,Other trades helpers and labourers
13945,CALGARY AUTO QUEST INC,"CALGARY, AB T2B 2E9",1,Alberta,7322-Motor vehicle body repairers,High Wage,Unknown,1,2024,Q1,7322,Motor vehicle body repairers
13946,CALGARY DRYWALL LTD.,"CHESTERMERE, AB T1X 0B4",1,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13947,Calgary Heating Services Ltd.,"Calgary, AB T3G 4X7",1,Alberta,"1123-Professional occupations in advertising, marketing and public relations",High Wage,Unknown,1,2024,Q1,1123,"Professional occupations in advertising, marketing and public relations"
13948,Calgary Wholesale Cash and Carry Inc.,"Calgary, AB T1Y 5R8",4,Alberta,1521-Shippers and receivers,High Wage,Unknown,1,2024,Q1,1521,Shippers and receivers
13949,Calgreen Living Inc.,"Calgary, AB T2M 3N4",1,Alberta,1225-Purchasing agents and officers,High Wage,Unknown,1,2024,Q1,1225,Purchasing agents and officers
13950,Caliber Framing Ltd.,"Chestermere, AB T1X 0P6",2,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13951,CalPharma Ltd.,"Calgary, AB T2A 0R4",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
13952,Canada Book Distributors Ltd.,"Edmonton, AB T6E  5B",1,Alberta,"1123-Professional occupations in advertising, marketing and public relations",High Wage,Corporation,1,2024,Q1,1123,"Professional occupations in advertising, marketing and public relations"
13953,Canada Book Distributors Ltd.,"Edmonton, AB T6E  5B",1,Alberta,1221-Administrative officers,High Wage,Corporation,1,2024,Q1,1221,Administrative officers
13954,Canada Keli New Technology Development Ltd.,"Calgary, AB T2G 5G3",1,Alberta,"0124-Advertising, marketing and public relations managers",High Wage,Unknown,1,2024,Q1,0124,"Advertising, marketing and public relations managers"
13955,Canada Kitchens Wholesaler Inc,"Rocky View County, AB T4A 0V3",1,Alberta,1114-Other financial officers,High Wage,Unknown,1,2024,Q1,1114,Other financial officers
13956,Canada Quickly Group Ltd.,"Edmonton, AB T6E 0A6",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13957,Canadian Business Consultancy Inc.,"Calgary, AB T3G 5A7",1,Alberta,5241-Graphic designers and illustrators,High Wage,Unknown,1,2024,Q1,5241,Graphic designers and illustrators
13958,Canadian Premium Sand Inc.,"Calgary, AB T2P 2X6",1,Alberta,"0016-Senior managers - construction, transportation, production and utilities",High Wage,Unknown,1,2024,Q1,0016,"Senior managers - construction, transportation, production and utilities"
13959,Canadian Standard Cabinets Ltd.,"Edmonton, AB T6E 0A9",1,Alberta,"1215-Supervisors, supply chain, tracking and scheduling co-ordination occupations",High Wage,Unknown,1,2024,Q1,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations"
13960,canapro international ltd,"Calgary, AB T3H 0V6",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13961,canapro international ltd,"Calgary, AB T3H 0V6",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
13962,Cander Enterprises Ltd.,"Innisfail, AB T4G 0C2",2,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13963,Candid Trucking Incorporated,"Edmonton, AB T6T 0L3",12,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13964,Canelo Drywall Ltd.,"Edmonton, AB T6W 2Y6",3,Alberta,"7284-Plasterers, drywall installers and finishers and lathers",High Wage,Unknown,1,2024,Q1,7284,"Plasterers, drywall installers and finishers and lathers"
13965,Canvas Painting Ltd.,"Calgary, AB T3J 5B7",1,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13966,Caramex Logistics Inc,"Sylvan Lake, AB T4S 1J9",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13967,Care Inc.,"Calgary, AB T3J 0L7",2,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13968,Career IT & Business Solutions Inc,"EDMONTON, AB T6E 5Y1",1,Alberta,2175-Web designers and developers,High Wage,Unknown,1,2024,Q1,2175,Web designers and developers
13969,Carrington Physio & Rehab Inc.,"Calgary, AB T3P 1Y3",1,Alberta,1243-Medical administrative assistants,High Wage,Unknown,1,2024,Q1,1243,Medical administrative assistants
13970,CARSTAR VEHICLE RELOCATION SERVICES INC.,"Edmonton, AB T6E 3N8",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13971,CBHM International LTD.,"Calgary, AB T2H 0K2",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13972,CCA Logistics Ltd.,"Calgary, AB T2E 6S6",1,Alberta,"0015-Senior managers - trade, broadcasting and other services, n.e.c.",High Wage,Unknown,1,2024,Q1,0015,"Senior managers - trade, broadcasting and other services, n.e.c."
13973,Ceejay Automotive & Autobody,"Calgary, AB T2A 6J4",2,Alberta,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",High Wage,Unknown,1,2024,Q1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
13974,Ceejay Automotive & Autobody,"Calgary, AB T2A 6J4",1,Alberta,7322-Motor vehicle body repairers,High Wage,Unknown,1,2024,Q1,7322,Motor vehicle body repairers
13975,Cemrock Concrete & Construction Ltd.,"Calgary, AB T2B 1M4",5,Alberta,7282-Concrete finishers,High Wage,Unknown,1,2024,Q1,7282,Concrete finishers
13976,Central Hub Mechanical Services Inc.,"Edmonton, AB T6L 2V1",1,Alberta,6221-Technical sales specialists - wholesale trade,High Wage,Unknown,1,2024,Q1,6221,Technical sales specialists - wholesale trade
13977,Central Protection Services Inc.,"Edmonton, AB T6E 6A4",1,Alberta,2282-User support technicians,High Wage,Unknown,1,2024,Q1,2282,User support technicians
13978,Cessco Fabrication & Engineering LTD,"Edmonton, AB T6E 3R8",5,Alberta,7235-Structural metal and platework fabricators and fitters,High Wage,Unknown,1,2024,Q1,7235,Structural metal and platework fabricators and fitters
13979,Cessco Fabrication & Engineering LTD,"Edmonton, AB T6E 3R8",15,Alberta,7237-Welders and related machine operators,High Wage,Unknown,1,2024,Q1,7237,Welders and related machine operators
13980,CF Construction Services Ltd.,"Calgary, AB T2A 2L9",5,Alberta,7282-Concrete finishers,High Wage,Unknown,1,2024,Q1,7282,Concrete finishers
13981,Chandan Homes LTD.,"Calgary, AB T3J 4A4",2,Alberta,7271-Carpenters,High Wage,Unknown,1,2024,Q1,7271,Carpenters
13982,Chardon Logistics Inc.,"Calgary, AB T2M 0K3",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13983,CHASE GLOBAL IMMIGRATION INC.,"CALGARY, AB T3N  1W",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13984,CHATHA TRANSPORT LTD.,"CALGARY, AB T3J 2G7",2,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
13985,Chawla Professional Corporation,"Edmonton, AB T6N 1A8",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
13986,CHEEMA SMART SOLUTIONS LTD.,"Sylvan Lake, AB T4S 1C9",1,Alberta,2281-Computer network technicians,High Wage,Unknown,1,2024,Q1,2281,Computer network technicians
13987,Chinese Investors Ltd.,"Calgary, AB T2T 4H4",1,Alberta,"0121-Insurance, real estate and financial brokerage managers",High Wage,Unknown,1,2024,Q1,0121,"Insurance, real estate and financial brokerage managers"
13988,Chinese Investors Ltd.,"Calgary, AB T2T 4H4",1,Alberta,4162-Economists and economic policy researchers and analysts,High Wage,Unknown,1,2024,Q1,4162,Economists and economic policy researchers and analysts
13989,CHOI Motorsports Inc.,"Edmonton, AB T6E 5E3",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13990,CITY LINK LOGISTICS LTD.,"CALGARY, AB T3K 4S1",2,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13991,City Side Building Solutions Ltd,"Calgary, AB T3N 2B7",3,Alberta,"7284-Plasterers, drywall installers and finishers and lathers",High Wage,Unknown,1,2024,Q1,7284,"Plasterers, drywall installers and finishers and lathers"
13992,City Wide Radiator Ltd,"Calgary, AB T2G 4E9",3,Alberta,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",High Wage,Unknown,2,2024,Q1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
13993,CK Flooring & Interior Ltd.,"Calgary, AB T3J 0Y9",1,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
13994,CLASSY MOTORS LTD.,"EDMONTON, AB T6L 7E2",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
13995,Cleaning Afe Ltd,"Calgary, AB T2W 4P1",1,Alberta,6315-Cleaning supervisors,High Wage,Unknown,1,2024,Q1,6315,Cleaning supervisors
13996,CleanSource services Ltd,"calgary, AB T2E 8W7",2,Alberta,6315-Cleaning supervisors,High Wage,Unknown,1,2024,Q1,6315,Cleaning supervisors
13997,CLEVER DAYCARE LTD,"CALGARY, AB T3E 8A7",1,Alberta,"0124-Advertising, marketing and public relations managers",High Wage,Unknown,1,2024,Q1,0124,"Advertising, marketing and public relations managers"
13998,Click-A-Canada Consulting Ltd.,"Calgary, AB T3H 0C1",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
13999,colorvibes salon & spa ltd,"edmonton, AB T6T 0X9",1,Alberta,6316-Other services supervisors,High Wage,Unknown,1,2024,Q1,6316,Other services supervisors
14000,Columbia Seed Co Limited,"Vauxhall, AB T0K 2K0",1,Alberta,2232-Mechanical engineering technologists and technicians,High Wage,Unknown,1,2024,Q1,2232,Mechanical engineering technologists and technicians
14001,Concourse Petroleum Inc.,"CALGARY, AB T2P 3H9",1,Alberta,1122-Professional occupations in business management consulting,High Wage,Unknown,1,2024,Q1,1122,Professional occupations in business management consulting
14002,Connect Transport Ltd,"EDMONTON, AB T6B 3V1",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
14003,Consolidated Gypsum Supply Ltd.,"Edmonton, AB T5S 1J7",6,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
14004,CONVIVE HOSPITALITY GROUP LTD,"EDMONTON, AB T5J 2Z2",5,Alberta,1524-Purchasing and inventory control workers,High Wage,Unknown,1,2024,Q1,1524,Purchasing and inventory control workers
14005,Cordax Evaluation Technologies Inc.,"Calgary, AB T2G 4P7",1,Alberta,0211-Engineering managers,High Wage,Unknown,1,2024,Q1,0211,Engineering managers
14006,Country Sun Automotive Limited Partnership,"Calgary, AB T1Y 6J1",2,Alberta,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",High Wage,Unknown,1,2024,Q1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
14007,CPAK Logistics Inc.,"Edmonton, AB T6X 0T3",1,Alberta,1525-Dispatchers,High Wage,Unknown,1,2024,Q1,1525,Dispatchers
14008,CPU MASTER FRANCHISE CORP.,"Calgary, AB T1Y 5Z6",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
14009,Creative Flooring Solutions Inc.,"Edmonton, AB T6W 0A7",3,Alberta,7283-Tilesetters,High Wage,Unknown,1,2024,Q1,7283,Tilesetters
14010,Creative Hands Interiors Ltd.,"Calgary, AB T3J 5C7",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
14011,Credit720 Inc,"Calgary, AB T2E 7P6",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
14012,CRISSMAR RENOVATION INC,"CHESTERMERE, AB T1X 0R8",2,Alberta,7283-Tilesetters,High Wage,Unknown,1,2024,Q1,7283,Tilesetters
14013,Crowchild Physiotherapy Inc.,"Calgary, AB T2L 1K8",1,Alberta,1432-Payroll clerks,High Wage,Unknown,1,2024,Q1,1432,Payroll clerks
14014,CRV Trucking Ltd,"Edmonton, AB T5Y 2V6",1,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
14015,Crystal Kitchens Inc.,"Edmonton, AB T6E 3N8",1,Alberta,7441-Residential and commercial installers and servicers,High Wage,Unknown,1,2024,Q1,7441,Residential and commercial installers and servicers
14016,CRYSTALCLEAR IMMIGRATION SERVICES LTD,"EDMONTON, AB T6N 1B5",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
14017,CS PROJECTS INC.,"Calgary, AB T2E 2W9",1,Alberta,7271-Carpenters,High Wage,Unknown,1,2024,Q1,7271,Carpenters
14018,CSA Industrial Ltd,"Edmonton, AB T6E 0A9",2,Alberta,2261-Non-destructive testers and inspection technicians,High Wage,Unknown,1,2024,Q1,2261,Non-destructive testers and inspection technicians
14019,C-TOWN CONTRACTORS INC,"Calgary, AB T3N 1C9",2,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
14020,Cubex Limited,"SW Calgary, AB T2V 2X4",1,Alberta,7312-Heavy-duty equipment mechanics,High Wage,Unknown,1,2024,Q1,7312,Heavy-duty equipment mechanics
14021,Custom Framing Edge Ltd,"Calgary, AB T3N 0G6",3,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
14022,CV SIDING & STUCCO LTD.,"CALGARY, AB T3J 3H7",1,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
14023,D.O.T. Logistics Inc.,"Calgary, AB T2C 5J4",1,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
14024,D.O.T. Logistics Inc.,"Calgary, AB T2C 5J4",20,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
14025,Daramola Professional Corporation,"Stony Plain, AB T7Z 0C5",2,Alberta,1221-Administrative officers,High Wage,Unknown,1,2024,Q1,1221,Administrative officers
14026,Davis-Rairdan Embryo Transplants,"Crossfield, AB T0M 0S0",1,Alberta,3114-Veterinarians,High Wage,Unknown,1,2024,Q1,3114,Veterinarians
14027,DB Stucco Ltd.,"Edmonton, AB T6E 5K8",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
14028,DB Stucco Ltd.,"Edmonton, AB T6E 5K8",2,Alberta,"7284-Plasterers, drywall installers and finishers and lathers",High Wage,Unknown,1,2024,Q1,7284,"Plasterers, drywall installers and finishers and lathers"
14029,DCL CONSTRUCTORS INC.,"Calgary, AB T3J 3W5",6,Alberta,7282-Concrete finishers,High Wage,Unknown,1,2024,Q1,7282,Concrete finishers
14030,DEALER DIRECT CANADA LTD,"EDMONTON, AB T6T 1W5",3,Alberta,7612-Other trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7612,Other trades helpers and labourers
14031,Deep - Electrical Supply Ltd.,"EDMONTON, AB T6E 5S8",2,Alberta,6211-Retail sales supervisors,High Wage,Unknown,1,2024,Q1,6211,Retail sales supervisors
14032,Deol Contracting Ltd.,"Edmonton, AB T6T 1J6",2,Alberta,7283-Tilesetters,High Wage,Unknown,1,2024,Q1,7283,Tilesetters
14033,DEVINE CUSTOM HOMES LTD,"Calgary, AB T2H 0R5",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
14034,DINO EXCELLENCE RENOVATION LTD,"EDMONTON, AB T5T 1Z9",3,Alberta,"7284-Plasterers, drywall installers and finishers and lathers",High Wage,Unknown,1,2024,Q1,7284,"Plasterers, drywall installers and finishers and lathers"
14035,Dispatch Logistics Inc.,"Edmonton, AB T5Y 3H5",5,Alberta,7511-Transport truck drivers,High Wage,Unknown,1,2024,Q1,7511,Transport truck drivers
14036,Divine freightlines inc.,"Calgary, AB T3N 1B4",1,Alberta,1311-Accounting technicians and bookkeepers,High Wage,Unknown,1,2024,Q1,1311,Accounting technicians and bookkeepers
14037,Dland Auto Service Ltd,"Edmonton, AB T6H 1G9",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
14038,DOIT Technical service Ltd.,"Edmonton, AB T6E 3N7",1,Alberta,"0124-Advertising, marketing and public relations managers",High Wage,Unknown,1,2024,Q1,0124,"Advertising, marketing and public relations managers"
14039,DOVER AUTO CENTRE LTD,"CALGARY, AB T2B 0B1",1,Alberta,"7321-Automotive service technicians, truck and bus mechanics and mechanical repairers",High Wage,Unknown,1,2024,Q1,7321,"Automotive service technicians, truck and bus mechanics and mechanical repairers"
14040,DP Group Ltd.,"CALGARY, AB T3N 0H6",3,Alberta,7611-Construction trades helpers and labourers,High Wage,Unknown,1,2024,Q1,7611,Construction trades helpers and labourers
14041,DR KHOSA'S MED PROF CORP,"Calgary, AB T2E 2R2",1,Alberta,1241-Administrative assistants,High Wage,Unknown,1,2024,Q1,1241,Administrative assistants
